I_INDEX,C2,DEVICE,VALUE,C5,C6,C7,TIME,C9,C10,C11,C12,C13,C14,C15
195763800,NULL,sensor.pzem_l2_power_w,12,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,68,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763801,NULL,sensor.pzem_l2_power_kw,0.012,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,71,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763802,NULL,sensor.maison_l2_power_w,12,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,74,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763803,NULL,sensor.sie_l2_power_w,12,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1005626,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763804,NULL,sensor.maison_l2_energy_w,236711.264,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,998713,0,01GFYKE3SPFZJZZZWXCVKW1XSS,NULL,NULL
195763805,NULL,sensor.maison_power_w,2460,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,195763765,1001146,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763806,NULL,sensor.sie_total_power_w,2458,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1005467,0,01GFYKE3RSJDVCQ253XF8JP31F,NULL,NULL
195763807,NULL,sensor.maison_energy_w,1585513.606,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,195763766,1001215,0,01GFYKE3T5296YXH9TYAVJKQQX,NULL,NULL
195763808,NULL,sensor.sie_total_energy_wh,940981.481,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1005641,0,01GFYKE3T7F2S6YP6H3J1E7ST1,NULL,NULL
195763809,NULL,sensor.th0_temperature,21.4,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,987026,0,01GFYKE43RCNCCTSV12A5M4CES,NULL,NULL
195763810,NULL,sensor.th0_temperature_chloe_table_d,20.7,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,987013,0,01GFYKE43RCNCCTSV12A5M4CES,NULL,NULL
195763811,NULL,sensor.shelly_chauffe_eau_power,2023.1,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1468956,0,01GFYKE44B9S0KS9FV6WTZ51Q5,NULL,NULL
195763812,NULL,sensor.shelly_chauffe_eau_energy,30.55,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1468957,0,01GFYKE44CJNQQY7NX3E7Q5ACC,NULL,NULL
195763813,NULL,sensor.l3_chfeau_congel_courant_consomme,9.246,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,997939,0,01GFYKE44B9S0KS9FV6WTZ51Q5,NULL,NULL
195763814,NULL,sensor.l3_chfeau_congel_eval_power_consomme,2169,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,1005630,0,01GFYKE44B9S0KS9FV6WTZ51Q5,NULL,NULL
195763815,NULL,sensor.pzem_l3_voltage,236.8,NULL,NULL,NULL,2022-10-22 01:03:08,NULL,NULL,238,0,01GFYKE4NBF8RA86355MNEJXS6,NULL,NULL
195763816,NULL,sensor.pzem_l3_current,10.378,NULL,NULL,NULL,2022-10-22 01:03:09,NULL,NULL,239,0,01GFYKE4PRKT44S76N8DQ31DJ4,NULL,NULL
195763817,NULL,sensor.pzem_l3_power,2437.3,NULL,NULL,NULL,2022-10-22 01:03:09,NULL,NULL,240,0,01GFYKE4PS77QKC6K4T3BHJ7XB,NULL,NULL
195763818,NULL,sensor.pzem_l3_energy,4829236,NULL,NULL,NULL,2022-10-22 01:03:09,NULL,NULL,241,0,01GFYKE4PSACDFTXN6CHDSNEET,NULL,NULL
195763819,NULL,sensor.pzem_l3_power_w,2437,NULL,NULL,NULL,2022-10-22 01:03:09,NULL,NULL,69,0,01GFYKE4PS77QKC6K4T3BHJ7XB,NULL,NULL
